Commitments of Traders Historical Report for "JPY"
,,Non-Commercial Positions,,Commercial Positions,,Non-Reportable Positions,,Dealer Positions,,Asset Manager Positions,,Leveraged Funds Positions,,
Date,Open Interest,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,
"Feb 23, 2021","183247","66670","38048","89663","117750","25206","25741","13724","92821","81602","16918","39084","38915"
"Feb 16, 2021","188119","66732","29550","92764","128250","26010","27706","10062","106657","89331","14195","39232","30856"
"Feb 09, 2021","183901","60719","26101","92849","129722","28738","26483","10145","108756","88270","12423","34758","28508"
"Feb 02, 2021","190948","69602","24973","95041","140921","25205","23954","9172","119013","95603","11676","38181","27924"
"Jan 26, 2021","193822","63463","18471","96095","157655","33803","17235","4453","140768","105977","7560","28334","20911"
"Jan 19, 2021","191540","64143","14129","94924","159866","31176","16248","4410","142752","106382","7667","28011","16899"
"Jan 12, 2021","190811","63857","13337","94609","156406","31124","19847","5082","139345","105442","7644","27744","15493"
"Jan 05, 2021","206963","69163","18973","98129","171246","36774","13847","4650","153840","111617","7523","35351","21955"
"Dec 29, 2020","194454","63577","16227","95149","161535","33431","14395","3897","144775","107637","7392","27662","19082"
"Dec 21, 2020","196845","66970","20877","93605","156671","33790","16817","3908","139896","105681","7421","31937","23404"
"Dec 15, 2020","193317","65376","21413","90761","153874","34221","15071","4442","136999","100794","7941","33998","23561"
"Dec 08, 2020","193326","63585","15419","92587","159561","33930","15122","4611","140755","97516","7420","31321","18203"
"Dec 01, 2020","185873","62449","14946","90038","153443","32847","16945","4366","131394","95030","7597","28197","19310"
"Nov 24, 2020","179503","54472","14230","93462","148259","30961","16406","4971","125009","97171","8497","27685","18739"
"Nov 17, 2020","165073","40313","10646","92697","137577","31751","16538","4472","113568","92980","9522","24391","14892"
"Nov 10, 2020","183518","55644","13750","96135","151491","30556","17094","4180","125783","95175","9275","38172","18762"
"Nov 03, 2020","184751","51012","22914","97895","145570","35101","15524","5279","117634","96561","12901","35077","26321"
"Oct 27, 2020","177622","46131","28238","94605","131414","36255","17339","4361","106734","95993","10393","30008","32513"
"Oct 20, 2020","166091","46524","32341","88750","115778","30081","17236","4815","92657","94480","11708","28306","36443"
"Oct 13, 2020","165616","47245","27269","86989","117085","29824","19704","4695","92730","92746","10625","27822","32390"
"Oct 06, 2020","163024","45779","24677","86102","119068","30183","18319","4584","93668","92295","11333","25909","30013"
"Sep 29, 2020","158298","47535","22746","79984","116054","29820","18539","4402","86868","87933","15141","26702","27971"
"Sep 22, 2020","169251","59033","29452","76239","119883","32295","18232","3994","92729","89596","13491","31667","34141"
"Sep 15, 2020","148912","50360","27471","69658","104286","27984","16245","4678","75924","72570","13007","25525","34056"
"Sep 08, 2020","151546","44850","23108","73161","105346","28920","18477","5562","77782","70908","11644","22918","27401"
"Sep 01, 2020","145922","46654","17050","70342","108353","27004","18597","6558","84204","73946","12282","21823","21154"
